MX Original Shows,Thinkistan,https://www.mxplayer.in/show/watch-thinkistan-series-online-a7ecc11b9b963301b5821065b08bba2e,"1 Season, 11 Episodes",https://www.mxplayer.in/show/watch-thinkistan-series-online-a7ecc11b9b963301b5821065b08bba2e
MX Original Shows,Bollywood Buzzinga,https://www.mxplayer.in/show/watch-bollywood-buzzinga-series-online-d016edc53ed06870430c97de762f7040,"1 Season, 8 Episodes",https://www.mxplayer.in/show/watch-bollywood-buzzinga-series-online-d016edc53ed06870430c97de762f7040
MX Original Shows,Hey Prabhu!,https://www.mxplayer.in/show/watch-hey-prabhu-series-online-aa570b91f931dba6cfefdefdbc2fc4d7,"1 Season, 6 Episodes",https://www.mxplayer.in/show/watch-hey-prabhu-series-online-aa570b91f931dba6cfefdefdbc2fc4d7
MX Original Shows,ImMature,https://www.mxplayer.in/show/watch-immature-series-online-00fefdd91f5216e6ebd9a7bfb68cb83d,"1 Season, 5 Episodes",https://www.mxplayer.in/show/watch-immature-series-online-00fefdd91f5216e6ebd9a7bfb68cb83d
MX Original Shows,F Buddies (Hindi),https://www.mxplayer.in/show/watch-f-buddies-hindi-series-online-09af400897d1d774aa013dd642c85e3a,"1 Season, 8 Episodes",https://www.mxplayer.in/show/watch-f-buddies-hindi-series-online-09af400897d1d774aa013dd642c85e3a
MX Original Shows,Aafat,https://www.mxplayer.in/show/watch-aafat-series-online-91dbb4bb4c0b3d8bb63ec2df25946667,"1 Season, 6 Episodes",https://www.mxplayer.in/show/watch-aafat-series-online-91dbb4bb4c0b3d8bb63ec2df25946667
MX Original Shows,Love Ok Please,https://www.mxplayer.in/show/watch-love-ok-please-series-online-6e91855fc6e2df5ff921179f3760cd83,"1 Season, 14 Episodes",https://www.mxplayer.in/show/watch-love-ok-please-series-online-6e91855fc6e2df5ff921179f3760cd83
MX Original Shows,Famously Filmfare Kannada,https://www.mxplayer.in/show/watch-famously-filmfare-kannada-series-online-81a8cbef92989816e4608b817590dbfe,"1 Season, 6 Episodes",https://www.mxplayer.in/show/watch-famously-filmfare-kannada-series-online-81a8cbef92989816e4608b817590dbfe
MX Original Shows,Famously Filmfare Marathi,https://www.mxplayer.in/show/watch-famously-filmfare-marathi-series-online-ea63b442368c8f399a1e40b7a34f19c0,"1 Season, 12 Episodes",https://www.mxplayer.in/show/watch-famously-filmfare-marathi-series-online-ea63b442368c8f399a1e40b7a34f19c0
MX Original Shows,LOL (Lots Of Love)(Telugu),https://www.mxplayer.in/show/watch-lol-lots-of-lovetelugu-series-online-7c92504322b7074471c5ff9dbac759b4,"1 Season, 8 Episodes",https://www.mxplayer.in/show/watch-lol-lots-of-lovetelugu-series-online-7c92504322b7074471c5ff9dbac759b4
Classic TV Shows,Alif Laila,https://www.mxplayer.in/show/watch-alif-laila-series-online-bb5dbc9aebc18b306980d19652e4efff,"1 Season, 160 Episodes",https://www.mxplayer.in/show/watch-alif-laila-series-online-bb5dbc9aebc18b306980d19652e4efff
Classic TV Shows,Kya Huaa Tera Vaada,https://www.mxplayer.in/show/watch-kya-huaa-tera-vaada-series-online-7f2af2dac778c3da3770ab63adc57c03,"1 Season, 267 Episodes",https://www.mxplayer.in/show/watch-kya-huaa-tera-vaada-series-online-7f2af2dac778c3da3770ab63adc57c03
Classic TV Shows,Office Office,https://www.mxplayer.in/show/watch-office-office-series-online-f557b2443c5234d3b3a5fb71164ecc9b,"1 Season, 40 Episodes",https://www.mxplayer.in/show/watch-office-office-series-online-f557b2443c5234d3b3a5fb71164ecc9b
Classic TV Shows,Kutumb,https://www.mxplayer.in/show/watch-kutumb-series-online-cbc1c667b2b7d2ec055c7f8891781a31,"1 Season, 30 Episodes",https://www.mxplayer.in/show/watch-kutumb-series-online-cbc1c667b2b7d2ec055c7f8891781a31
Classic TV Shows,Biwi to Biwi Salla re Salla,https://www.mxplayer.in/show/watch-biwi-to-biwi-salla-re-salla-series-online-d2d5c9df73d0c627665d534e46b50953,"1 Season, 140 Episodes",https://www.mxplayer.in/show/watch-biwi-to-biwi-salla-re-salla-series-online-d2d5c9df73d0c627665d534e46b50953
